address,size,name,namespace,source,recovery,organized_file
104a1ef0,77,ModelRefine::FaceTypeSplitter::addShell,ModelRefine::FaceTypeSplitter,IMPORTED,pseudocode,src/geometry/ModelRefine_recovered.cpp
104a24e0,602,ModelRefine::boundaryEdges,ModelRefine,IMPORTED,pseudocode,src/geometry/ModelRefine_recovered.cpp
104a2750,1577,ModelRefine::FaceTypedBase::boundarySplit,ModelRefine::FaceTypedBase,IMPORTED,pseudocode,src/geometry/ModelRefine_recovered.cpp
104a2d80,1832,ModelRefine::FaceTypedCylinder::boundarySplit,ModelRefine::FaceTypedCylinder,IMPORTED,pseudocode,src/geometry/ModelRefine_recovered.cpp
104a34b0,2003,ModelRefine::FaceTypedBSpline::buildFace,ModelRefine::FaceTypedBSpline,IMPORTED,pseudocode,src/geometry/ModelRefine_recovered.cpp
104a3c90,5406,ModelRefine::FaceTypedCylinder::buildFace,ModelRefine::FaceTypedCylinder,IMPORTED,pseudocode,src/geometry/ModelRefine_recovered.cpp
104a51b0,1816,ModelRefine::FaceTypedPlane::buildFace,ModelRefine::FaceTypedPlane,IMPORTED,pseudocode,src/geometry/ModelRefine_recovered.cpp
104a68d0,43,ModelRefine::getBSplineObject,ModelRefine,IMPORTED,pseudocode,src/geometry/ModelRefine_recovered.cpp
104a6900,43,ModelRefine::getCylinderObject,ModelRefine,IMPORTED,pseudocode,src/geometry/ModelRefine_recovered.cpp
104a6930,4,ModelRefine::FaceUniter::getDeletedShapes,ModelRefine::FaceUniter,IMPORTED,pseudocode,src/geometry/ModelRefine_recovered.cpp
104a6940,212,ModelRefine::getFaceEdges,ModelRefine,IMPORTED,pseudocode,src/geometry/ModelRefine_recovered.cpp
104a6a20,216,ModelRefine::FaceTypedBase::getFaceType,ModelRefine::FaceTypedBase,IMPORTED,pseudocode,src/geometry/ModelRefine_recovered.cpp
104a6e20,17,ModelRefine::FaceAdjacencySplitter::getGroup,ModelRefine::FaceAdjacencySplitter,IMPORTED,pseudocode,src/geometry/ModelRefine_recovered.cpp
